"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39061","Hamilton County, Ohio",2017,0.7,0.6,0.8,1.2
"39049","Franklin County, Ohio",2017,0.7,0.5,0.7,0.9
"39101","Marion County, Ohio",2017,2.7,2.2,3.9,3.4
"39157","Tuscarawas County, Ohio",2017,2,1.7,2.9,3.3
"39169","Wayne County, Ohio",2017,2,1.4,1.8,3.7
"39017","Butler County, Ohio",2017,0.9,0.7,1.2,1.2
"39043","Erie County, Ohio",2017,1.8,1.2,3,3.2
"39089","Licking County, Ohio",2017,1.7,1.2,2,1.7
"39139","Richland County, Ohio",2017,2.1,1.6,2.6,2.3
"39063","Hancock County, Ohio",2017,2.3,2.1,3.1,3.4
"39025","Clermont County, Ohio",2017,1.3,1.2,1.9,1.5
"39045","Fairfield County, Ohio",2017,1.8,1.4,2,2
"39081","Jefferson County, Ohio",2017,1.5,2.2,3.2,3.4
"39133","Portage County, Ohio",2017,1.2,1.4,2,2.1
"39013","Belmont County, Ohio",2017,2,2.2,2.5,1.9
"39153","Summit County, Ohio",2017,0.7,0.7,1.3,1.1
"39119","Muskingum County, Ohio",2017,2.1,1.5,3.5,2.6
"39029","Columbiana County, Ohio",2017,2.1,1.9,2.8,3
"39099","Mahoning County, Ohio",2017,1,1.5,1.7,1.8
"39009","Athens County, Ohio",2017,2.2,2.3,3.2,3.7
"39145","Scioto County, Ohio",2017,3.3,2,4.2,3.6
"39103","Medina County, Ohio",2017,1.1,0.8,1.5,1.3
"39095","Lucas County, Ohio",2017,1.2,1.2,1.3,1.4
"39151","Stark County, Ohio",2017,0.9,1.1,1.4,1.5
"39003","Allen County, Ohio",2017,2,1.7,2.2,2.3
"39041","Delaware County, Ohio",2017,1,0.9,1,1.4
"39055","Geauga County, Ohio",2017,2,1,1.7,1.6
"39085","Lake County, Ohio",2017,1.3,1.1,1.6,1.7
"39141","Ross County, Ohio",2017,2.1,2.8,3.5,3.5
"39023","Clark County, Ohio",2017,1.8,1.7,1.9,2.2
"39035","Cuyahoga County, Ohio",2017,0.5,0.6,0.7,0.7
"39093","Lorain County, Ohio",2017,1.3,1,1.4,1.8
"39109","Miami County, Ohio",2017,1.6,1.5,3,2.3
"39113","Montgomery County, Ohio",2017,0.9,1.1,1.1,1.5
"39155","Trumbull County, Ohio",2017,1.3,1.2,1.7,2.4
"39165","Warren County, Ohio",2017,1.1,0.9,1,1
"39173","Wood County, Ohio",2017,1.2,1.3,1.7,2.2
"39007","Ashtabula County, Ohio",2017,2.5,2.1,2.8,3.6
"39061","Hamilton County, Ohio",2018,0.6,0.5,1,1.2
"39049","Franklin County, Ohio",2018,0.6,0.5,0.7,1.1
"39101","Marion County, Ohio",2018,2.3,2,3.8,4.3
"39157","Tuscarawas County, Ohio",2018,3,1.9,2.8,3.4
"39169","Wayne County, Ohio",2018,1.6,1.1,1.9,2
"39017","Butler County, Ohio",2018,1,0.7,1.6,1.4
"39089","Licking County, Ohio",2018,1.3,1.2,1.9,1.7
"39139","Richland County, Ohio",2018,2,1.4,3,3.3
"39063","Hancock County, Ohio",2018,2.7,1.5,2.6,3.4
"39025","Clermont County, Ohio",2018,1.3,1.1,1.7,1.6
"39045","Fairfield County, Ohio",2018,1.2,1,1.9,2.3
"39081","Jefferson County, Ohio",2018,2.1,2.3,3.2,4.1
"39133","Portage County, Ohio",2018,1.3,1.3,1.9,2.1
"39013","Belmont County, Ohio",2018,1.7,1.6,2.8,2.8
"39119","Muskingum County, Ohio",2018,1.9,2.2,3.2,3.4
"39009","Athens County, Ohio",2018,2.4,2,4.3,4.6
"39103","Medina County, Ohio",2018,0.7,0.8,1.6,2
"39095","Lucas County, Ohio",2018,0.9,1,1.5,1.4
"39151","Stark County, Ohio",2018,0.9,0.9,1.3,1.3
"39041","Delaware County, Ohio",2018,1,1,1,1
"39055","Geauga County, Ohio",2018,1.9,0.9,1.2,1.6
"39085","Lake County, Ohio",2018,1.3,0.9,0.9,1.2
"39141","Ross County, Ohio",2018,2.2,2.1,4.8,4.6
"39035","Cuyahoga County, Ohio",2018,0.5,0.5,0.7,0.8
"39109","Miami County, Ohio",2018,1.7,2,2.6,1.8
"39155","Trumbull County, Ohio",2018,1.6,1,1.9,2.3
"39173","Wood County, Ohio",2018,1.4,1.4,1.8,1.9
"39057","Greene County, Ohio",2018,1.4,1.3,1.9,2.2
"39043","Erie County, Ohio",2018,2.7,1.8,2.8,2.6
"39153","Summit County, Ohio",2018,0.8,0.8,1.1,1.2
"39029","Columbiana County, Ohio",2018,2.1,1.7,3.6,2.7
"39099","Mahoning County, Ohio",2018,1.2,1.5,1.8,2.1
"39145","Scioto County, Ohio",2018,2.6,2.6,4.3,4.3
"39003","Allen County, Ohio",2018,1.8,1.5,2.5,3
"39023","Clark County, Ohio",2018,2,1.3,2.6,2.3
"39093","Lorain County, Ohio",2018,1,0.9,1.5,1.5
"39113","Montgomery County, Ohio",2018,0.8,0.8,1.3,1.4
"39165","Warren County, Ohio",2018,1.4,0.9,1,1.2
"39007","Ashtabula County, Ohio",2018,2.7,2.5,2.1,3.2
"39057","Greene County, Ohio",2019,1.1,1.3,1.8,2.5
"39043","Erie County, Ohio",2019,1.8,2,3.7,3.4
