"county","year","mean","lwr95","upr95"
"Scotland",2020,1075.5394,741,1563.025
"Stanly",2020,1640.3571,1157,2335.025
"Stokes",2020,1045.8683,692,1573.025
"Surry",2020,1850.2411,1292,2611
"Swain",2020,705.2626,484,1131.05
"Transylvania",2020,855.7503,570,1406
"Tyrrell",2020,82.0292,40,156
"Union",2020,2428.2985,1601,3689.05
"Vance",2020,1546.8434,1013,2355
"Wake",2020,12492.0969,8320.975,17586.2
"Warren",2020,370.8436,229,581
"Washington",2020,234.2206,140,372
"Watauga",2020,676.4496,437,1035.025
"Wayne",2020,1900.6742,1274.975,2736.025
"Wilkes",2020,2412.2688,1796,3301.025
"Wilson",2020,1499.8749,1020,2159.025
"Yadkin",2020,993.9772,704,1435
"Yancey",2020,628.214,435,999.025
"Alamance",2021,2287.8081,1542.975,3328.025
"Alexander",2021,961.3954,682,1400
"Alleghany",2021,162.8709,107,254
"Anson",2021,259.5205,161,411
"Ashe",2021,592.2042,407,890
"Avery",2021,526.5749,386,745.025
"Beaufort",2021,1627.6541,1192,2230
"Bertie",2021,262.8129,167,407
"Bladen",2021,870.0098,593,1267
"Brunswick",2021,2855.5424,1928.975,4458
"Buncombe",2021,6582.1933,4367.875,10308.25
"Burke",2021,2506.6416,1700,3636.025
"Cabarrus",2021,3076.7189,2012,4701.025
"Caldwell",2021,2197.9158,1532,3205.025
"Camden",2021,72.9307,34,144
"Carteret",2021,1443.4732,953,2215.075
"Caswell",2021,286.3036,184,435
"Catawba",2021,3809.3151,2530,5707.075
"Chatham",2021,763.9103,512,1113.025
"Cherokee",2021,1150.3521,645,2100.075
"Chowan",2021,214.7122,118,373
"Clay",2021,219.3838,118,416
"Cleveland",2021,1828.5786,1240,2741
"Columbus",2021,1765.1411,1220,2628
"Craven",2021,2218.2416,1503,3239.025
"Cumberland",2021,5349.7224,3508.95,7825.075
"Currituck",2021,416.549,216,791
"Dare",2021,884.9681,519.975,1545.05
"Davidson",2021,3350.1789,2256.95,4901.05
"Davie",2021,725.7211,480.975,1079
"Duplin",2021,612.0761,404,911
"Durham",2021,4290.9592,2857,6295.15
"Edgecombe",2021,916.4808,624,1333
"Forsyth",2021,5054.8811,3367.95,7503
"Franklin",2021,928.168,629.975,1334
"Gaston",2021,4699.1886,3103.95,7103.025
"Gates",2021,107.4496,56,194
"Graham",2021,418.5708,247,744.025
"Granville",2021,874.1343,578,1282.05
"Greene",2021,245.1709,155,377
"Guilford",2021,6156.7294,4074,9223.1
"Halifax",2021,781.1429,540,1123
"Harnett",2021,2107.8797,1438,3063
"Haywood",2021,1916.4583,1261.975,3105
"Henderson",2021,2021.7921,1293.975,3313.075
"Hertford",2021,483.4083,322,743
"Hoke",2021,607.5396,387,922.025
"Hyde",2021,75.4119,44,126
"Iredell",2021,3211.4603,2261,4591.025
"Jackson",2021,1169.7002,701,1994
"Johnston",2021,2454.6341,1680,3534.025
"Jones",2021,195.587,132,291
"Lee",2021,1505.4817,997,2259.025
"Lenoir",2021,799.417,530.975,1174.025
"Lincoln",2021,1737.2284,1166.975,2548
"Macon",2021,861.5242,568,1340.025
"Madison",2021,660.5066,404,1124.025
"Martin",2021,474.6127,285,807
"McDowell",2021,1217.3505,870.975,1705
"Mecklenburg",2021,8810.7162,5608.975,13895.15
"Mitchell",2021,721.9109,524,1065
"Montgomery",2021,672.95,453.975,991
"Moore",2021,1853.3585,1320.975,2592
"Nash",2021,1365.235,948,1949
"New Hanover",2021,4684.2215,2963,7477.05
"Northampton",2021,165.232,102,263
"Onslow",2021,2992.4218,1924,4579.025
"Orange",2021,1543.9265,1019,2225
"Pamlico",2021,285.6699,172,470
"Pasquotank",2021,900.323,504,1599
"Pender",2021,1202.9909,841.975,1735.05
"Perquimans",2021,265.6149,145,476.025
"Person",2021,856.131,610,1209
"Pitt",2021,3041.7076,2148.975,4251.025
"Polk",2021,323.4776,193,563
"Randolph",2021,2842.7646,1972.975,4050.025
"Richmond",2021,1636.3655,1172.975,2301
"Robeson",2021,4105.1014,2865,6007.05
"Rockingham",2021,1949.5282,1337.975,2837.05
"Rowan",2021,3147.6596,2103.975,4748.075
"Rutherford",2021,1358.2166,891,2124.025
"Sampson",2021,811.3826,548,1188
"Scotland",2021,936.1045,643,1375.025
"Stanly",2021,1272.9593,874,1861.025
"Stokes",2021,881.5566,571,1334
"Surry",2021,1693.374,1178.95,2469
"Swain",2021,709.0091,480,1126.025
"Transylvania",2021,916.8089,604,1462
"Tyrrell",2021,62.8484,33,114.025
"Union",2021,2064.0531,1312.975,3241
"Vance",2021,1088.4,749,1594
"Wake",2021,9517.2566,6522,13590.175
"Warren",2021,242.9277,156,371
"Washington",2021,199.9216,127,310.025
"Watauga",2021,693.7353,450,1056
"Wayne",2021,1414.5589,965.975,2040
"Wilkes",2021,2273.4761,1695.975,3082
"Wilson",2021,1158.405,823,1642
"Yadkin",2021,897.7363,620.975,1304.025
"Yancey",2021,659.3773,447,1022
